hcp_id,hcp_name,region,specialty,trx_count,nrx_count
HCP1114289519,Dr. Gabriel Mccoy,South,Oncology,864,253
HCP1073879573,Dr. Ozlem Bilen,South,Cardiology,2542,1282
HCP1932563574,Dr. Tamar Berger,East,Neurology,11,4
HCP1083979322,Dr. Ankit Patel,South,Neurology,2243,1071
HCP1902840663,Dr. Neil Schacht,South,Oncology,71,20
HCP1760484562,Dr. Masih Uddin,South,Cardiology,320,180
HCP1568455871,Dr. Peter Mancusi-Ungaro,South,Oncology,217,64
HCP1447312368,Dr. Maureen Hewitt,East,Oncology,1019,378
HCP1427094473,Dr. Manoj Malhotra,East,Neurology,63,22
HCP1700874906,Dr. Kari Patterson,West,Neurology,1111,444
HCP1831466648,Dr. Andrew Olson,North,Cardiology,7881,4469
HCP1780649327,Dr. Barbara Mcgrath,North,Oncology,1072,372
HCP1922150986,Dr. Kozhaya Sokhon,South,Cardiology,3209,1648
HCP1710956958,Dr. Jose Marquez,South,Cardiology,5192,2785
HCP1548263163,Dr. Kasra Karamlou,North,Oncology,1499,455
HCP1487869129,Dr. Erin Nelli,West,Oncology,768,218
HCP1457556581,Dr. Clifford Segil,West,Neurology,1401,515
HCP1831366046,Dr. Karen Dasilva,West,Neurology,794,255
HCP1336365162,Dr. Maher Loutfi,South,Neurology,1989,671
HCP1205907086,Dr. Robert Wagner,East,Neurology,4925,1674
HCP1699731885,Dr. Shmuel Ravid,East,Cardiology,1400,817
HCP1861848061,Dr. Bao Nguyen,South,Cardiology,19,8
HCP1942697610,Dr. Ross Biggs,East,Cardiology,2270,1127
HCP1497719025,Dr. David Messinger,East,Cardiology,2562,1476
HCP1891946703,Dr. Ruslan Feygin,East,Cardiology,11626,6969
HCP1447646260,Dr. Zachary Cohn,East,Oncology,963,335
HCP1841487576,Dr. Aashish Anand,South,Neurology,30,12
HCP1356357958,Dr. Wayne Clark,West,Neurology,67,26
HCP1699853549,Dr. Srinivas Prasad,South,Cardiology,5181,3000
HCP1174818355,Dr. Jill Sullivan,South,Oncology,1755,522
HCP1063699460,Dr. Philip Lee,South,Cardiology,2225,1180
HCP1386850832,Dr. Bianca Ferrari,South,Oncology,306,93
HCP1164548541,Dr. Susan Lien,West,Cardiology,3664,2406
HCP1548217052,Dr. Uzma Nasim,West,Neurology,2500,690
HCP1851342828,Dr. George Wang,West,Neurology,618,210
HCP1154476836,Dr. Walif Aji,South,Cardiology,3270,1801
HCP1467765784,Dr. Anupama Kale,East,Neurology,2841,991
HCP1174051601,Dr. Shadi Khalil,East,Oncology,729,235
HCP1467404814,Dr. William Fay,North,Cardiology,974,393
HCP1447324975,Dr. Aimee Kao,West,Neurology,158,61
HCP1740786631,Dr. Kelly Block,West,Neurology,795,341
HCP1447666425,Dr. Victor Del Brutto Andrade,South,Neurology,87,41
HCP1386835601,Dr. Naga Lakshmana Nidadavolu,South,Neurology,16713,6835
HCP1568551539,Dr. Mukesh Sharma,East,Cardiology,1070,467
HCP1518957422,Dr. Guy Rordorf,East,Neurology,220,87
HCP1851681076,Dr. Jeremy Jones,South,Oncology,103,26
HCP1528025996,Dr. Scott Solomon,East,Cardiology,378,184
HCP1700805553,Dr. George Reynolds,South,Cardiology,926,432
HCP1700980299,Dr. Alexei Arkhipov,South,Oncology,423,131
HCP1215202536,Dr. Natalia Paez Arango,North,Oncology,105,26
HCP1639168933,Dr. Iftikhar-Ahmad Chouhdry,East,Oncology,1805,514
HCP1518369925,Dr. Maria Garcia-Ayala,South,Neurology,3837,913
HCP1750432720,Dr. Raghu Kunamneni,East,Oncology,710,205
HCP1982698353,Dr. John Skallerup,North,Cardiology,822,435
HCP1336112747,Dr. John Gerald Canto,South,Cardiology,8819,4986
HCP1386057651,Dr. Alexander Deak,East,Oncology,1709,521
HCP1962586024,Dr. Radha Kachhy,South,Cardiology,6571,3336
HCP1225031172,Dr. Robert Schlesinger,East,Cardiology,3522,1945
HCP1093954802,Dr. Sidharth Yadav,East,Cardiology,982,571
HCP1043338221,Dr. Jason Morda,South,Cardiology,5210,3030
HCP1306916663,Dr. Alan Wasserman,South,Cardiology,81,38
HCP1184680522,Dr. Nailesh Dave,South,Neurology,2438,590
HCP1508939976,Dr. John Broderick,North,Neurology,5005,1909
HCP1336438290,Dr. Kelsey Barrell,West,Neurology,623,216
HCP1215026539,Dr. Ellen Friedman,East,Oncology,87,26
HCP1487846853,Dr. Robert Kumar,West,Cardiology,1852,1049
HCP1902943368,Dr. Chao-Wei Hwang,East,Cardiology,716,343
HCP1922018480,Dr. Rachel Koreth,North,Oncology,565,151
HCP1982869582,Dr. Joanna Rodriguez,East,Oncology,811,333
HCP1811331747,Dr. Simon Ermakov,West,Cardiology,2296,1297
HCP1588753032,Dr. Randolph Marshall,East,Neurology,312,161
HCP1952343212,Dr. Annapoorna Kini,East,Cardiology,606,334
HCP1437265436,Dr. Amy Schell,South,Oncology,2219,702
HCP1609861293,Dr. Christopher Cherry,South,Cardiology,4286,2035
HCP1184980989,Dr. Paul Brittain,South,Oncology,1533,685
HCP1407840127,Dr. Martin Sadowski,East,Neurology,747,349
HCP1225322480,Dr. Parul Jindal,North,Neurology,2835,1018
HCP1558772368,Dr. Johannes Pulst-Korenberg,West,Neurology,45,18
HCP1215461363,Dr. Vikas Sunder,North,Cardiology,464,243
HCP1942206057,Dr. Eugenio Bricio,South,Cardiology,6622,3687
HCP1598064941,Dr. Benjamin Weinberg,South,Oncology,396,125
HCP1497744163,Dr. David Weinberg,East,Neurology,20,4
HCP1366882656,Dr. Jay Mohan,North,Cardiology,3728,2141
HCP1407037112,Dr. Giorgi Sirbiladze,South,Neurology,2366,900
